[2023-10-05 19:04:08,695][__main__][INFO] - Train step 250
[2023-10-05 19:04:09,018][__main__][INFO] - Task 0 reward: 0
[2023-10-05 19:04:09,105][__main__][INFO] - Task 1 reward: 0
[2023-10-05 19:04:09,192][__main__][INFO] - Task 2 reward: 0
[2023-10-05 19:04:09,278][__main__][INFO] - Task 3 reward: 0
[2023-10-05 19:04:09,368][__main__][INFO] - Task 4 reward: 0
[2023-10-05 19:04:09,452][__main__][INFO] - Task 5 reward: 0
[2023-10-05 19:04:09,536][__main__][INFO] - Task 6 reward: 0
[2023-10-05 19:04:09,620][__main__][INFO] - Task 7 reward: 0
[2023-10-05 19:04:09,708][__main__][INFO] - Task 8 reward: 0
[2023-10-05 19:04:09,795][__main__][INFO] - Task 9 reward: 0
[2023-10-05 19:05:09,567][__main__][INFO] - Train step 500
[2023-10-05 19:05:09,896][__main__][INFO] - Task 0 reward: 0
[2023-10-05 19:05:09,980][__main__][INFO] - Task 1 reward: 0
[2023-10-05 19:05:10,065][__main__][INFO] - Task 2 reward: 0
[2023-10-05 19:05:10,150][__main__][INFO] - Task 3 reward: 0
[2023-10-05 19:05:10,234][__main__][INFO] - Task 4 reward: 0
[2023-10-05 19:05:10,317][__main__][INFO] - Task 5 reward: 0
[2023-10-05 19:05:10,400][__main__][INFO] - Task 6 reward: 0
[2023-10-05 19:05:10,482][__main__][INFO] - Task 7 reward: 0
[2023-10-05 19:05:10,567][__main__][INFO] - Task 8 reward: 0
[2023-10-05 19:05:10,653][__main__][INFO] - Task 9 reward: 0
[2023-10-05 19:06:09,261][__main__][INFO] - Train step 750
[2023-10-05 19:06:09,577][__main__][INFO] - Task 0 reward: 0
[2023-10-05 19:06:09,663][__main__][INFO] - Task 1 reward: 0
[2023-10-05 19:06:09,750][__main__][INFO] - Task 2 reward: 0
[2023-10-05 19:06:09,835][__main__][INFO] - Task 3 reward: 0
[2023-10-05 19:06:09,921][__main__][INFO] - Task 4 reward: 0
[2023-10-05 19:06:10,004][__main__][INFO] - Task 5 reward: 0
[2023-10-05 19:06:10,087][__main__][INFO] - Task 6 reward: 0
[2023-10-05 19:06:10,172][__main__][INFO] - Task 7 reward: 0
[2023-10-05 19:06:10,256][__main__][INFO] - Task 8 reward: 0
[2023-10-05 19:06:10,343][__main__][INFO] - Task 9 reward: 0
[2023-10-05 19:07:11,172][__main__][INFO] - Train step 1000
[2023-10-05 19:07:11,496][__main__][INFO] - Task 0 reward: 0
[2023-10-05 19:07:11,582][__main__][INFO] - Task 1 reward: 0
[2023-10-05 19:07:11,667][__main__][INFO] - Task 2 reward: 0
[2023-10-05 19:07:11,753][__main__][INFO] - Task 3 reward: 0
